name,business_status,price_level,place_id,rating,types,lat,lng,open,neighborhood
Maison Bangkok,OPERATIONAL,NA,ChIJxadqWL5ZwokRvvkH1SYCy3w,4.9,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7692221,-73.96281970000001,TRUE,Upper East Side
Pure Thai Cookhouse,OPERATIONAL,2,ChIJ2XJIN1dYwokRAfIRdv9Vu6c,4.6,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7642884,-73.9881589,TRUE,Hell's Kitchen
Taboon,OPERATIONAL,3,ChIJhUtcnVBYwokRkHJaZZsDHFk,4.5,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7661805,-73.9909847,TRUE,Hell's Kitchen
44 & X Hell's Kitchen,OPERATIONAL,2,ChIJ1QtpBVJYwokRUPSabwKYsyA,4.4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.76098090000001,-73.99422779999999,TRUE,Hell's Kitchen
Hell's Kitchen,OPERATIONAL,2,ChIJ1Y2PZlFYwokRrHyauG6aQbw,4.5,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7638866,-73.9884587,TRUE,Hell's Kitchen
Briciola,OPERATIONAL,2,ChIJl7uwMFdYwokR6s6h6ZUIHNU,4.5,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.763892,-73.988247,TRUE,Hell's Kitchen
Il Melograno,OPERATIONAL,2,ChIJ2WjAjlBYwokR-EJZW5EpOfg,4.6,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7655244,-73.9914524,TRUE,Hell's Kitchen
Kashkaval Garden,OPERATIONAL,2,ChIJ0xEQtFlYwokRTi07N6-ojBU,4.5,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7667881,-73.9862145,TRUE,Hell's Kitchen
Samba Kitchen,OPERATIONAL,2,ChIJkYJZ11NYwokRoWP0sEKULoY,4.6,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.76093710000001,-73.99110639999999,TRUE,Hell's Kitchen
Tavola,OPERATIONAL,2,ChIJ2eMwXq1ZwokRhBKYlHsX-C0,4.4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7554026,-73.9945165,TRUE,Hell's Kitchen
PRINT.,CLOSED_TEMPORARILY,3,ChIJH163y09YwokR4opNGaX_XU8,4.4,"c(""night_club"", ""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7645778,-73.99593469999999,FALSE,Hell's Kitchen
El Centro,OPERATIONAL,2,ChIJ03-521lYwokRpZd6eBslyaU,4.4,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.765985,-73.98685499999999,TRUE,Hell's Kitchen
Etcetera Etcetera,OPERATIONAL,2,ChIJ6XKTr1NYwokRE9LsQtrXnak,4.4,"c(""meal_delivery"", ""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7592451,-73.9911523,TRUE,Hell's Kitchen
The Marshal,OPERATIONAL,2,ChIJs9RGG1JYwokRi3KuI3Lzr88,4.3,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7612602,-73.9940357,TRUE,Hell's Kitchen
